,BG_SCALE,Q3,MIN,MAX,N_SURG,Q1,PART,Q2,TARGET_SCALE,MAX_QUEUE_LENGTH,AVG
265,1.5,184.5,19.0,384.0,2,34.2,0.1875,133.5,0.5,11.0,146.5
266,1.5,95.7,1.0,369.0,2,21.25,0.19047619047619047,43.0,0.5,3.0,85.875
267,1.5,37.3,10.0,62.0,2,16.65,0.13636363636363635,28.5,0.5,2.0,30.333333333333332
268,1.5,370.6,3.0,768.0,2,22.3,0.2727272727272727,42.0,0.5,14.0,203.33333333333334
269,1.5,81.0,18.0,81.0,2,18.0,0.08695652173913043,49.5,0.5,2.0,49.5
270,1.5,111.55,47.0,160.0,2,53.65,0.2222222222222222,62.5,0.5,5.0,82.5
271,1.5,110.0,26.0,110.0,2,26.0,0.08695652173913043,68.0,0.5,1.0,68.0
272,1.5,92.35,17.0,145.0,2,17.45,0.13333333333333333,23.0,0.5,3.0,52.0
273,1.5,105.0,28.0,105.0,2,28.0,0.06060606060606061,66.5,0.5,1.0,66.5
274,1.5,247.05,79.0,252.0,2,100.15,0.12903225806451613,183.5,0.5,5.0,174.5
275,1.5,139.4,13.0,152.0,2,17.05,0.13793103448275862,73.0,0.5,5.0,77.75
276,1.5,546.25,1.0,967.0,2,1.45,0.16666666666666666,17.0,0.5,8.0,250.5
277,1.5,--,,,2,--,0.0,--,0.5,,
278,1.5,310.7,7.0,398.0,2,34.9,0.11428571428571428,136.5,0.5,5.0,169.5
279,1.5,100.2,8.0,104.0,2,24.15,0.13953488372093023,75.0,0.5,2.0,64.5
280,1.5,64.45,11.0,73.0,2,30.35,0.11428571428571428,54.0,0.5,3.0,48.0
281,1.5,43.0,20.0,43.0,2,20.0,0.0625,31.5,0.5,1.0,31.5
282,1.5,174.1,25.0,214.0,2,28.8,0.1935483870967742,128.0,0.5,2.0,116.0
283,1.5,235.1,54.0,299.0,2,99.9,0.14814814814814814,156.5,0.5,3.0,166.5
284,1.5,--,,,2,--,0.0,--,0.5,,
285,1.5,124.0,7.0,129.0,2,26.4,0.08108108108108109,104.0,0.5,5.0,80.0
286,1.5,39.15,4.0,45.0,2,7.15,0.11764705882352941,21.5,0.5,2.0,23.0
287,1.5,137.4,4.0,302.0,2,32.0,0.15555555555555556,45.0,0.5,4.0,95.28571428571429
288,1.5,20,20.0,20.0,3,20,0.03125,20,0.5,1.0,20.0
289,1.5,209.2,4.0,260.0,3,4.4,0.07317073170731707,6.0,0.5,6.0,90.0
