,MAX,PART,Q2,Q3,N_SURG,MAX_QUEUE_LENGTH,MIN,SCALE,AVG,Q1
145,6742,0.9942723249153866,3151.0,5067.6,2,337,4,0.5,3582.2809636030374,2527.4
146,9894,0.9972313113516235,5379.0,8560.05,2,446,15,0.5,5610.817516405856,3342.9500000000003
147,8837,0.9970171513795675,4481.0,5267.000000000001,2,434,2,0.5,4177.826227873348,2801.4000000000005
148,8587,0.9950372208436724,3519.0,5704.05,2,388,5,0.5,3559.8366583541147,1153.95
149,6168,0.9716406042936655,4405.0,5087.0,2,288,1,0.5,3877.9369885433716,3097.0
150,575,0.8100730488273741,152.0,258.0,3,44,1,0.5,173.32202183198862,60.0
151,745,0.6911335578002245,128.0,379.0,3,51,1,0.5,215.9058135758363,39.0
152,2292,0.8354771784232365,304.0,711.0,3,133,1,0.5,477.43655326545814,113.0
153,1076,0.753072625698324,140.0,270.0,3,57,1,0.5,197.3765578635015,50.0
154,1344,0.6941426547000472,132.0,498.8000000000002,3,99,1,0.5,321.8475671997278,36.0
155,584,0.7006692822524809,142.5,260.5500000000002,3,39,1,0.5,165.47529644268775,42.0
156,1310,0.7891010512765501,280.0,455.0,3,92,1,0.5,320.842033713975,98.0
157,1421,0.8355128729055987,609.0,949.0,3,98,1,0.5,573.0706774272438,118.0
158,1254,0.8030495552731893,274.5,644.5500000000002,3,92,1,0.5,370.793776371308,73.0
159,1200,0.7234497505345688,121.0,306.0,3,65,1,0.5,202.02463054187191,48.0
160,636,0.6802768166089965,94.0,189.0,3,48,1,0.5,130.13360461173278,31.0
161,614,0.7315175097276264,134.0,271.0,3,45,1,0.5,170.21120150187735,42.0
162,565,0.6824539877300614,100.0,188.0,3,33,1,0.5,128.6990291262136,39.0
163,955,0.7252124645892352,139.0,326.0,3,55,1,0.5,217.4794921875,49.0
164,536,0.7082771030139451,91.0,195.30000000000018,3,38,1,0.5,131.06986344871387,34.0
165,1071,0.7465753424657534,142.0,361.8000000000002,3,58,1,0.5,228.70109499852026,53.0
166,773,0.675840233804189,99.0,210.0,3,36,1,0.5,147.1581981981982,35.0
167,1141,0.7479935794542536,320.0,631.0,3,82,1,0.5,376.69926425505827,71.0
168,614,0.7198316183348924,130.0,294.0500000000002,3,47,1,0.5,179.04353476283302,52.950000000000045
169,1774,0.7708729655463961,150.0,297.8000000000002,3,96,1,0.5,259.6312037290924,50.0
170,550,0.6747713047664902,109.0,198.80000000000018,3,36,1,0.5,134.79236532286836,42.0
171,516,0.7201484392054137,101.0,224.0,3,42,1,0.5,136.9651409518036,37.0
172,1008,0.7953478881860845,249.0,472.0500000000002,3,73,1,0.5,310.7811698306824,110.0
173,749,0.7152213188798555,119.0,252.0,3,45,1,0.5,166.2270287338175,43.0
174,459,0.6277594519157574,78.0,145.0,3,26,1,0.5,95.20291026677445,28.0
175,1147,0.8295935647756139,263.0,561.0,3,88,1,0.5,355.4085225822914,99.0
176,1349,0.8382062425918609,233.0,650.8000000000002,3,100,1,0.5,395.09003063869903,93.0
177,695,0.7710542732376794,146.0,253.0,3,51,1,0.5,172.8160733549083,59.0
178,837,0.787343951786483,167.0,393.0,3,59,1,0.5,240.28048113723347,72.0
179,1082,0.8027660853878533,177.0,350.0,3,80,1,0.5,244.3083645443196,60.0
180,39336,0.9984135378106822,20567.5,28802.75,1,951,1768,1.0,20389.624470338982,12364.599999999999
181,38114,0.9963898916967509,18037.5,26696.75,1,944,8,1.0,18371.06314699793,10185.1
182,44011,0.9974606399187405,23399.0,30663.65,1,1120,23,1.0,22184.895621181262,13471.5
183,42812,0.9994582881906826,18844.0,32532.399999999998,1,999,30,1.0,20934.99566395664,10379.1
184,48008,0.9994292237442922,21798.0,36387.6,1,995,60,1.0,23461.239291833237,10465.400000000001
185,43152,0.9989281886387996,21029.5,33560.1,1,1052,8,1.0,21927.902896995707,10987.55
186,41766,0.9972557628979144,18277.0,31194.4,1,982,55,1.0,20625.859108420475,11176.9
187,45170,0.9972943722943723,19324.0,31116.600000000002,1,981,24,1.0,20498.28160607705,9423.8
188,43586,0.9973544973544973,19415.0,31465.0,1,996,2,1.0,20838.83872679045,9146.0
189,38534,0.9972885032537961,20007.0,30380.799999999996,1,923,21,1.0,20090.94888526373,11641.599999999999
190,45096,0.9956592512208355,19889.0,32440.800000000003,1,1015,10,1.0,20982.730245231607,9384.0
191,46001,0.9979242345614946,23739.0,35860.2,1,1135,21,1.0,23645.932397295892,11162.599999999999
192,42237,0.9985029940119761,23453.0,31022.6,1,1058,31,1.0,22072.88455772114,11970.8
193,45367,0.9989664082687338,22444.0,34241.3,1,1086,16,1.0,22917.49663735127,11441.7
194,40898,0.9983561643835617,20856.5,30314.3,1,970,16,1.0,21324.290889132822,13917.9
195,44212,0.9977207977207977,21086.0,30457.199999999997,1,916,10,1.0,21475.650485436894,11443.8
196,43572,0.9989669421487604,22195.5,33278.55,1,1108,11,1.0,22658.845398138572,12221.2
197,43821,0.9957850368809273,22707.0,33276.5,1,1082,15,1.0,23131.439153439154,13993.85
198,39000,0.9968602825745683,20346.0,29469.399999999994,1,968,4,1.0,19693.094488188977,9507.1
199,39752,0.9967532467532467,20755.5,30414.149999999998,1,941,24,1.0,20972.86753528773,12532.65
200,46560,0.9973060344827587,22897.0,33182.0,1,1037,20,1.0,22865.183684494867,11291.199999999999
201,41801,0.9979253112033195,22365.5,32777.25,1,1048,17,1.0,21269.612266112264,8980.9
202,38219,0.9982954545454545,18022.0,29233.6,1,837,7,1.0,19243.840068298236,9905.599999999999
203,36365,0.9967637540453075,13632.0,23115.0,1,813,2,1.0,14887.35606060606,4166.649999999999
204,46481,0.9950248756218906,22188.5,34682.75,1,1068,4,1.0,23022.112222222222,12021.75
205,45966,0.9983351831298557,22213.0,33749.4,1,1054,1,1.0,22719.66814897165,12685.599999999999
206,41683,0.9961132704053304,18630.5,30237.15,1,967,16,1.0,20378.33946488294,11941.5
207,37404,0.9960981047937569,15843.0,24299.799999999996,1,863,38,1.0,16601.678791270286,8354.0
208,43584,0.9954453441295547,23528.0,33986.6,1,1077,7,1.0,22809.925775292322,12015.4
209,41825,0.9977349943374858,17679.5,31864.2,1,931,33,1.0,20448.11010215664,9848.05
210,10408,0.9980936819172114,6546.0,8500.0,2,506,5,1.0,6026.339972714871,3396.0
211,9973,0.9702664796633941,4275.0,7966.8,2,446,1,1.0,4461.850823937554,604.2
212,11599,0.991487097632349,3897.0,7210.8,2,560,1,1.0,4491.731151059834,1167.2
213,11766,0.9967338051170387,4688.0,8773.050000000001,2,512,5,1.0,5558.972965592572,2283.75
214,11288,0.9844587352625938,5317.5,9116.0,2,542,2,1.0,5623.854382144801,2422.6000000000004
