,MIN,Q2,Q3,MAX_QUEUE_LENGTH,Q1,MAX,AVG,SCALE,N_SURG,PART
98,1,2412.0,3106.0,225,1859.7,4492,2294.8,1.0,2,0.9869189441719225
99,2,3388.0,6116.55,384,2257.3500000000004,8114,3719.9233716475096,1.0,2,0.9863013698630136
100,1,108.0,201.55000000000018,52,44.0,700,146.1543321299639,1.0,3,0.7148387096774194
101,1,242.0,475.0,77,77.0,1111,318.8169775615031,1.0,3,0.7562870578613781
102,1,131.0,281.0,47,36.0,628,176.18925913943707,1.0,3,0.6779995613073042
103,1,150.0,292.0,65,56.0,933,208.7548441449031,1.0,3,0.7463844057849508
104,1,84.0,175.0,43,31.0,510,115.74446130500759,1.0,3,0.6942688579856722
105,1,228.0,408.0,55,65.0,900,256.3831692032229,1.0,3,0.722198275862069
106,1,131.0,285.0,67,54.0,840,196.14642857142857,1.0,3,0.7405900305188199
107,1,93.0,189.0,36,36.0,643,127.74388857305287,1.0,3,0.7198690403110293
108,1,149.5,358.0500000000002,73,46.0,1229,245.53089700996676,1.0,3,0.6783862970475547
109,1,109.0,221.0,61,34.0,796,162.12131256214784,1.0,3,0.6604640980735552
110,1,113.0,248.0,46,42.0,645,160.49360525406152,1.0,3,0.6679750634957284
111,1,94.0,202.0,55,37.0,678,139.65428308259135,1.0,3,0.6928313124867049
112,1,76.0,175.0,38,27.0,715,116.93668381480016,1.0,3,0.6086223506743738
113,1,97.0,250.0,56,34.0,773,178.95420974889217,1.0,3,0.6359793330201973
114,1,108.0,212.0,35,42.0,564,137.08618899273105,1.0,3,0.6707685163687022
115,1,102.0,233.0,56,36.0,734,159.94265354597897,1.0,3,0.6575189647478804
116,1,88.0,182.0,47,34.0,641,127.36885478829213,1.0,3,0.7064846416382252
117,1,93.0,206.0,34,34.0,518,126.88557401812689,1.0,3,0.6324337234296632
118,1,114.0,245.0,39,46.0,582,149.4935161170804,1.0,3,0.6473974574238427
119,1,95.0,185.0,29,33.0,530,117.15121200461716,1.0,3,0.613405711588388
120,21,20333.5,32986.65,1220,10631.0,46745,21828.89285714286,1.5,1,0.9969230769230769
121,1381,23147.0,33329.75,1181,10758.9,43492,22943.895870736087,1.5,1,0.9991031390134529
